brand,name,price,rating,category,product_type
colourpop,Lippie Pencil,5.0,,pencil,lip_liner
colourpop,Blotted Lip,5.5,,lipstick,lipstick
colourpop,Lippie Stix,5.5,,lipstick,lipstick
colourpop,No Filter Foundation,12.0,,liquid,foundation
boosh,Lipstick,26.0,,lipstick,lipstick
deciem,Serum Foundation,6.7,,liquid,foundation
deciem,Coverage Foundation,6.9,,liquid,foundation
zorah biocosmetiques,Liquid Liner,0.0,,liquid,eyeliner
zorah biocosmetiques,Eyeshadow,0.0,,,eyeshadow
w3llpeople, Realist Invisible Setting Powder,0.0,,powder,foundation
sally b's skin yummies,B Smudged,0.0,,,eyeshadow
sally b's skin yummies,B Glossy Lip Gloss,0.0,,lip_gloss,lipstick
rejuva minerals,Multi Purpose Powder - Blush & Eye,0.0,,,eyeshadow
rejuva minerals,Multi Purpose Powder - Blush & Eye,0.0,,powder,blush
rejuva minerals,Multi Purpose Powder - Eye Shadow & Face,0.0,,,eyeshadow
rejuva minerals,Pressed Powder Foundation,0.0,,powder,foundation
rejuva minerals,Bronzer - loose,0.0,,powder,bronzer
rejuva minerals,Bronzer - pressed,0.0,,powder,bronzer
penny lane organics,Lip Gloss,0.0,,lip_gloss,lipstick
nudus,Amalia,0.0,,lipstick,lipstick
marienatie,Pressed Foundation,0.0,,powder,foundation
marienatie,Pressed Eye Shadow,0.0,,,eyeshadow
marienatie,Mineral Blush,0.0,,powder,blush
marienatie,Perfect Lash Mascara,0.0,,,mascara
marienatie,Loose Mineral Eyeshadow,0.0,,,eyeshadow
marienatie,Lipstick,0.0,,lipstick,lipstick
marienatie,Lip Gloss,0.0,,lip_gloss,lipstick
marienatie,Gel Liner,0.0,,gel,eyeliner
marienatie,Eyeliner,0.0,,pencil,eyeliner
maia's mineral galaxy,Mineral Eye Brow Liner Charcoal Brown,0.0,,pencil,eyebrow
lotus cosmetics usa,Mascara,0.0,,,mascara
lotus cosmetics usa,Creme to Powder Blush,0.0,,cream,blush
lotus cosmetics usa,Eye Shadow Palette Mesmerize,0.0,,palette,eyeshadow
lotus cosmetics usa,Eye Shadow Palette Deluxe,0.0,,palette,eyeshadow
lotus cosmetics usa,Eye Shadow Palette Smokey,0.0,,palette,eyeshadow
lotus cosmetics usa,Eye Shadow Palette Seduction,0.0,,palette,eyeshadow
lotus cosmetics usa,Eye Shadow Palette Cocoa,0.0,,palette,eyeshadow
green people,Volumising Mascara,0.0,,,mascara
coastal classic creation,Conch Lipstick,0.0,,lipstick,lipstick
c'est moi,Reflect Lip Gloss,0.0,,lip_gloss,lipstick
c'est moi,Muse Mascara,0.0,,,mascara
c'est moi,Luminary Lip Crayon,0.0,,pencil,lip_liner
c'est moi,Fearless Eyeliner,0.0,,pencil,eyeliner
alva,Liquid Eye Shadow,9.95,,cream,eyeshadow
glossier,Stretch Concealer,22.0,,concealer,foundation
glossier,Cloud Paint,22.0,,cream,blush
glossier,Wowder,27.0,,powder,foundation
